"REF_DATE","GEO","DGUID","Type of fuel sales","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Canada","2016A000011124","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74791","1.4","88274","","","","0"
"1990","Newfoundland and Labrador","2016A000210","Net sales of gasoline","Litres","203","thousands","3","v74727","2.1","572472","","","","0"
"1990","Newfoundland and Labrador","2016A000210","Gross sales of gasoline","Litres","203","thousands","3","v74740","2.2","592742","","","","0"
"1990","Newfoundland and Labrador","2016A000210","Net sales of diesel oil","Litres","203","thousands","3","v74779","2.3","149068","","","","0"
"1990","Newfoundland and Labrador","2016A000210","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74792","2.4","1526","","","","0"
"1990","Prince Edward Island","2016A000211","Net sales of gasoline","Litres","203","thousands","3","v74731","3.1","177133","","","","0"
"1990","Prince Edward Island","2016A000211","Gross sales of gasoline","Litres","203","thousands","3","v74744","3.2","181104","","","","0"
"1990","Prince Edward Island","2016A000211","Net sales of diesel oil","Litres","203","thousands","3","v74783","3.3","16234","","","","0"
"1990","Prince Edward Island","2016A000211","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74796","3.4","582","","","","0"
"1990","Nova Scotia","2016A000212","Net sales of gasoline","Litres","203","thousands","3","v74732","4.1","1039206","","","","0"
"1990","Nova Scotia","2016A000212","Gross sales of gasoline","Litres","203","thousands","3","v74745","4.2","1060329","","","","0"
"1990","Nova Scotia","2016A000212","Net sales of diesel oil","Litres","203","thousands","3","v74784","4.3","275493","","","","0"
"1990","Nova Scotia","2016A000212","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74797","4.4","5338","","","","0"
"1990","New Brunswick","2016A000213","Net sales of gasoline","Litres","203","thousands","3","v74733","5.1","956257","","","","0"
"1990","New Brunswick","2016A000213","Gross sales of gasoline","Litres","203","thousands","3","v74746","5.2","962031","","","","0"
"1990","New Brunswick","2016A000213","Net sales of diesel oil","Litres","203","thousands","3","v74785","5.3","294368","","","","0"
